"Trans_X","Trans_Y","Lon","Lat","Line","StopName"
-8372593.04495959,4861489.73990736,-75.212283,39.969353,"T1","Lancaster Av & Westminster St"
-8372999.91769844,4861810.89749993,-75.215938,39.971564,"T1","Lancaster Av & 47th St"
-8373122.03517984,4861909.67261589,-75.217035,39.972244,"T1","Lancaster Av & 48th St"
-8373392.43022297,4862121.60665887,-75.219464,39.973703,"T1","Lancaster Av & 49th St"
-8373718.03973354,4862344.00427185,-75.222389,39.975234,"T1","Lancaster Av & 50th St"
-8374186.80610927,4862627.56482247,-75.2266,39.977186,"T1","Lancaster Av & 52nd St"
-8374538.01910273,4862619.28450716,-75.229755,39.977129,"T1","Lansdowne Av & 54th St"
-8374754.98079028,4862589.94028747,-75.231704,39.976927,"T1","Lansdowne Av & 55th St"
-8374966.82178126,4862557.98133499,-75.233607,39.976707,"T1","Lansdowne Av & 56th St"
-8375149.60838514,4862531.10684096,-75.235249,39.976522,"T1","Lansdowne Av & 57th St"
-8375316.69894083,4862508.00936097,-75.23675,39.976363,"T1","Lansdowne Av & 58th St"
-8375511.39673022,4862479.97286942,-75.238499,39.97617,"T1","Lansdowne Av & 59th St"
-8375695.519168,4862451.79119087,-75.240153,39.975976,"T1","Lansdowne Av & 60th St"
-8375870.51340752,4862427.53176877,-75.241725,39.975809,"T1","Lansdowne Av & 61st St"
-8376067.77154521,4862399.35023908,-75.243497,39.975615,"T1","Lansdowne Av & 62nd St"
-8376293.9727505,4862394.55648168,-75.245529,39.975582,"T1","63rd St & Lansdowne Av - FS"
-8376349.74381539,4862779.80764004,-75.24603,39.978234,"T1","63rd St & Jefferson St"
-8376397.72251592,4863120.90975671,-75.246461,39.980582,"T1","63rd St & Columbia Av"
-8376341.61749256,4863593.93958513,-75.245957,39.983838,"T1","63rd-Malvern"
-8402846.78825044,4872100.84783432,-75.484057,40.042367,"206","Paoli Regional Rail Station"
-8403286.38891958,4872021.45563809,-75.488006,40.041821,"206","Lancaster Av & Plank Av"
-8403812.81879154,4871996.44577389,-75.492735,40.041649,"206","Lancaster Av & Cedar Hollow Rd"
-8404434.09286966,4872046.61097212,-75.498316,40.041994,"206","Lancaster Av & Central Av"
-8404547.52743078,4872376.25353105,-75.499335,40.044261,"206","Industrial Blvd & Paoli Hospital"
-8405058.48389352,4872709.39704604,-75.503925,40.046552,"206","Industrial Blvd & West Industrial Blvd"
-8404411.04973506,4872969.40508876,-75.498109,40.04834,"206","Cedar Hollow Rd & Jacqueline Dr"
-8404520.6994335,4873419.78191356,-75.499094,40.051437,"206","Cedar Hollow Rd & Vanguard Blvd"
-8405800.76225813,4874088.62271473,-75.510593,40.056036,"206","Cedar Hollow Rd & Swedesford Rd - MBNS"
-8406223.88764263,4874703.5481457,-75.514394,40.060264,"206","Chesterfield Pkwy & 300"
-8406383.18583396,4874608.57254493,-75.515825,40.059611,"206","Chesterfield Pkwy & 600"
-8406473.79989946,4874356.66617173,-75.516639,40.057879,"206","Chesterfield Pkwy & Swedesford Rd - MBNS"
-8406572.20632933,4874076.2606032,-75.517523,40.055951,"206","Swedesford Rd & Valley Stream Pkwy"
-8406885.34805693,4873930.534286,-75.520336,40.054949,"206","Swedesford Rd & Liberty Blvd - MBNS"
-8407283.09259753,4874065.20743418,-75.523909,40.055875,"206","Liberty Blvd & Swedesford Rd - MBFS"
-8407580.53827693,4873954.53098728,-75.526581,40.055114,"206","Liberty Blvd & Morehall Rd - MBNS"
-8407759.54001813,4873902.46549096,-75.528189,40.054756,"206","Morehall Rd & Liberty Blvd - FS"
-8407849.3748472,4874274.92887453,-75.528996,40.057317,"206","Morehall Rd & Valley Stream Pkwy - FS"
-8408752.28723702,4875172.18533968,-75.537107,40.063486,"206","Great Valley Pkwy & Morehall Rd - MBFS"
-8409157.82414198,4875235.31196887,-75.54075,40.06392,"206","Great Valley Pkwy & 27 43 Bldg"
-8409421.09473771,4875149.34930789,-75.543115,40.063329,"206","Great Valley Pkwy & 45 67 Bldg"
-8409682.91818005,4875063.3873926,-75.545467,40.062738,"206","Great Valley Pkwy & 77 123 Bldg"
-8409769.63606338,4874914.01033891,-75.546246,40.061711,"206","Great Valley Pkwy & 125 Bldg"
-8409599.53988145,4874716.92916107,-75.544718,40.060356,"206","Great Valley Pkwy & 155 Bldg"
-8409473.1922594,4874754.74517177,-75.543583,40.060616,"206","Great Valley Pkwy & 201 Bldg"
-8409213.92916534,4874835.46829276,-75.541254,40.061171,"206","Great Valley Pkwy & 257 275 Bldg"
-8408931.06633924,4874963.0267091,-75.538713,40.062048,"206","Great Valley Pkwy & Technology Dr"
-8408572.06098143,4875334.65722509,-75.535488,40.064603,"206","Morehall Rd & Great Valley - FS"
-8408656.66379443,4875631.97167304,-75.536248,40.066647,"206","Morehall Rd & Atwater Dr - FS"
-8409014.77859631,4876797.46051715,-75.539465,40.074659,"206","General Warren Blvd & Otis - FS"
-8409014.77859631,4876797.46051715,-75.539465,40.074659,"206","General Warren Blvd & Otis - FS"
-8408770.87759198,4876548.4079481,-75.537274,40.072947,"206","General Warren Blvd & Morehall Rd"
-8408676.3673443,4875595.46144382,-75.536425,40.066396,"206","Morehall Rd & Flat Rd"
-8408752.28723702,4875172.18533968,-75.537107,40.063486,"206","Great Valley Pkwy & Morehall Rd - MBFS"
-8409157.82414198,4875235.31196887,-75.54075,40.06392,"206","Great Valley Pkwy & 27 43 Bldg"
-8409421.09473771,4875149.34930789,-75.543115,40.063329,"206","Great Valley Pkwy & 45 67 Bldg"
-8409682.91818005,4875063.3873926,-75.545467,40.062738,"206","Great Valley Pkwy & 77 123 Bldg"
-8409769.63606338,4874914.01033891,-75.546246,40.061711,"206","Great Valley Pkwy & 125 Bldg"
-8409599.53988145,4874716.92916107,-75.544718,40.060356,"206","Great Valley Pkwy & 155 Bldg"
-8409473.1922594,4874754.74517177,-75.543583,40.060616,"206","Great Valley Pkwy & 201 Bldg"
-8409213.92916534,4874835.46829276,-75.541254,40.061171,"206","Great Valley Pkwy & 257 275 Bldg"
-8408931.06633924,4874963.0267091,-75.538713,40.062048,"206","Great Valley Pkwy & Technology Dr"
-8408599.55689565,4875195.74868879,-75.535735,40.063648,"206","Great Valley Pkwy & Morehall Rd"
-8407869.07839707,4874233.3332846,-75.529173,40.057031,"206","Morehall Rd & Valley Stream Pkwy - FS"
-8407610.70585894,4873897.37530348,-75.526852,40.054721,"206","Liberty Blvd & Morehall Rd - MBFS"
-8407279.08509586,4874030.15733501,-75.523873,40.055634,"206","Liberty Blvd & Swedesford Rd - MBNS"
-8406781.37565253,4873929.37081105,-75.519402,40.054941,"206","Swedesford Rd & Liberty Blvd - MBFS"
-8406601.14939693,4874013.86853443,-75.517783,40.055522,"206","Swedesford Rd & Valley Stream Pkwy"
-8406450.08884792,4874356.66617173,-75.516426,40.057879,"206","Chesterfield Pkwy & Swedesford Rd - MBFS"
-8406373.94631622,4874589.08302424,-75.515742,40.059477,"206","Chesterfield Pkwy & 600"
-8406231.79132648,4874674.89538006,-75.514465,40.060067,"206","Chesterfield Pkwy & 300"
-8405805.9942742,4874062.58958017,-75.51064,40.055857,"206","Cedar Hollow Rd & Swedesford Rd - MBFS"
-8404535.1709673,4873402.91240948,-75.499224,40.051321,"206","Cedar Hollow Rd & Vanguard Blvd - FS"
-8404407.15355289,4872918.79896204,-75.498074,40.047992,"206","Cedar Hollow Rd & Industrial Blvd"
-8405072.95542732,4872721.03036977,-75.504055,40.046632,"206","Industrial Blvd & West Industrial Blvd"
-8404571.23848232,4872371.01871574,-75.499548,40.044225,"206","Industrial Blvd & Paoli Hospital"
-8403862.80124291,4871975.65273716,-75.493184,40.041506,"206","Lancaster Av & Cedar Hollow Rd"
-8403309.98865163,4872000.6625489,-75.488218,40.041678,"206","Lancaster Av & Plank Av"
-8402846.78825044,4872100.84783432,-75.484057,40.042367,"206","Paoli Regional Rail Station"
-8364185.52909793,4872025.67242373,-75.136757,40.04185,"BSL","Fern Rock Transit Center"
-8365075.19446835,4871620.86918014,-75.144749,40.039066,"BSL","Olney Transit Center"
-8365279.020456,4870392.60187429,-75.14658,40.030618,"BSL","Logan"
-8365426.40746181,4869511.91388571,-75.147904,40.02456,"BSL","Wyoming"
-8365612.6449699,4868403.24210504,-75.149577,40.016933,"BSL","Hunting Park"
-8365798.882478,4867284.22996345,-75.15125,40.009234,"BSL","Erie"
-8365985.00866661,4866173.19133953,-75.152922,40.001589,"BSL","Broad-Allegheny"
-8366175.03103739,4865062.27710911,-75.154629,39.993944,"BSL","North Philadelphia"
-8366339.78388377,4864057.83870299,-75.156109,39.987031,"BSL","Susquehanna-Dauphin"
-8366541.94007905,4862843.43653233,-75.157925,39.978672,"BSL","Cecil B. Moore"
-8366715.93244315,4861797.67913985,-75.159488,39.971473,"BSL","Broad-Girard"
-8366824.2463077,4861153.63223108,-75.160461,39.967039,"BSL","Fairmount"
-8365970.87109128,4859409.22150974,-75.152795,39.955028,"BSL","Chinatown"
-8366064.49078303,4858844.32526263,-75.153636,39.951138,"BSL","8th-Market"
-8366936.6789934,4860478.69149808,-75.161471,39.962392,"BSL","Broad-Spring Garden"
-8367062.47001799,4859699.95955645,-75.162601,39.95703,"BSL","Race-Vine"
-8367232.56619993,4859038.18706322,-75.164129,39.952473,"BSL","15th/City Hall"
-8367269.63559036,4858495.23834781,-75.164462,39.948734,"BSL","Walnut-Locust"
-8367381.95695657,4857819.026258,-75.165471,39.944077,"BSL","Lombard-South"
-8367571.86800786,4856672.75080768,-75.167177,39.936182,"BSL","Ellsworth-Federal"
-8367726.93605854,4855748.13173851,-75.16857,39.929813,"BSL","Tasker-Morris"
-8367859.1836136,4854959.46438636,-75.169758,39.92438,"BSL","Snyder"
-8368043.52869036,4853857.64136191,-75.171414,39.916789,"BSL","Oregon"
-8368321.38213938,4852209.56184292,-75.17391,39.905433,"BSL","NRG Station"
-8368309.58227335,4852208.25579455,-75.173804,39.905424,"BSL","NRG Station"
-8368034.40049211,4853856.335097,-75.171332,39.91678,"BSL","Oregon"
-8367847.38374758,4854958.15797663,-75.169652,39.924371,"BSL","Snyder"
-8367716.36070692,4855746.8252251,-75.168475,39.929804,"BSL","Tasker-Morris"
-8367561.29265624,4856671.44417269,-75.167082,39.936173,"BSL","Ellsworth-Federal"
-8367371.49292444,4857817.71947224,-75.165377,39.944068,"BSL","Lombard-South"
-8367259.17155823,4858495.23834781,-75.164368,39.948734,"BSL","Walnut-Locust"
-8367224.77383557,4859036.88011706,-75.164059,39.952464,"BSL","15th/City Hall"
-8367061.13418411,4859698.65252321,-75.162589,39.957021,"BSL","Race-Vine"
-8366927.43947566,4860476.07722679,-75.161388,39.962374,"BSL","Broad-Spring Garden"
-8366054.0267509,4858844.32526263,-75.153542,39.951138,"BSL","8th-Market"
-8365960.29573965,4859409.07628806,-75.1527,39.955027,"BSL","Chinatown"
-8366815.11810945,4861152.3250065,-75.160379,39.96703,"BSL","Fairmount"
-8366705.35709153,4861796.37183047,-75.159393,39.971464,"BSL","Broad-Girard"
-8366532.70056131,4862842.12908523,-75.157842,39.978663,"BSL","Cecil B. Moore"
-8366330.65568552,4864056.53109593,-75.156027,39.987022,"BSL","Susquehanna-Dauphin"
-8366165.90283915,4865060.9693697,-75.154547,39.993935,"BSL","North Philadelphia"
-8365974.54463447,4866173.19133953,-75.152828,40.001589,"BSL","Broad-Allegheny"
