Line,StopName,Lon,Lat
K,Queen Ln & Wissahickon Av - detour,-75.178149,40.022688
K,Queen Ln & Stokley St - detour,-75.181125,40.020052
K,Queen Ln & Fox St - detour,-75.182973,40.018779
K,Fox St & Midvale Av - detour,-75.184223,40.019665
K,Midvale Av & McMichael St,-75.186153,40.018536
K,Midvale Av & Henry Av,-75.188167,40.017165
K,Midvale Av & Vaux St - FS,-75.190123,40.015509
K,Midvale Av & Warden Dr,-75.191841,40.014298
K,Midvale Av & Cresson St - FS,-75.192996,40.011605
K,Midvale Av & Creswell St,-75.193262,40.00991
K,Midvale Av & Ridge Av,-75.193915,40.009072
K,River Rd & Midvale Av,-75.194082,40.008447
K,River Rd & Midvale Av,-75.194082,40.008447
K,Midvale Av & River Rd - FS,-75.194153,40.00859
K,Midvale Av & Creswell St,-75.193121,40.00982
K,Midvale Av & Cresson St,-75.192831,40.011587
K,Midvale Av & Conrad St,-75.191842,40.014102
K,Midvale Av & Vaux St,-75.189982,40.015437
K,Midvale Av & Henry Av,-75.188464,40.016844
K,Midvale Av & McMichael St,-75.186178,40.018339
K,Midvale Av & Fox St,-75.184389,40.019585
K,Fox St & Queen Ln - detour,-75.18321,40.01861
K,Queen Ln & Stokley St - detour,-75.18122,40.01982
K,Queen Ln & Wissahickon Av - detour,-75.178149,40.022474
K,Queen Ln & Laurens St - detour,-75.176762,40.023819
K,Queen Ln & Morris St - detour,-75.175184,40.025359
K,Queen Ln & Pulaski Av - detour,-75.17401,40.02649
K,Queen Ln & Wayne Av - detour,-75.172562,40.027898
K,Wayne Av & Coulter St - FS,-75.174709,40.029384
K,Wayne Av & School House Ln,-75.176549,40.030467
K,Wayne Av & Chelten Av,-75.178684,40.031703
K,Chelten Av & Knox St,-75.177711,40.032808
K,Chelten Av & Greene St,-75.17656,40.034002
K,Chelten Av & Germantown Av,-75.174781,40.035676
K,Chelten Av & Kenyon St,-75.173891,40.036549
K,Chelten Av & Lena St - FS,-75.172989,40.037431
K,Chelten Av & Baynton St,-75.171649,40.038722
K,Chelten Av & Morton St,-75.169869,40.040486
K,Chelten Av & Magnolia St,-75.168753,40.041581
