number_of_bathrooms,number_of_bedrooms,total_livable_area,total_area,sale_price,sale_date,central_air,year_built,shape,location,log_sale_price
1,4,1462,1120,178000,2024-10-15T04:00:00Z,Y,1915,SRID=2272;POINT(2691792.68429712 249533.561513021),2262 N VAN PELT ST,12.089538829274222
1,3,908,649,60000,2024-11-08T05:00:00Z,N,1915,SRID=2272;POINT(2692903.20950166 249780.163754165),2340 N GARNET ST,11.002099841204238
1,2,726,609,114900,2024-10-10T04:00:00Z,N,1925,SRID=2272;POINT(2689940.78059392 254624.846020767),3129 N MARSTON ST,11.651817463836847
1,3,1254,870,42500,2024-11-13T05:00:00Z,N,1940,SRID=2272;POINT(2696160.95001634 253386.416054654),1335 W TORONTO ST,10.657259354912508
1,3,1152,1222,180000,2024-12-31T05:00:00Z,N,1920,SRID=2272;POINT(2695615.0171022 273945.017210206),6642 N OPAL ST,12.100712129872347
1,3,1344,1280,198000,2024-11-15T05:00:00Z,NA,1925,SRID=2272;POINT(2696456.75083568 276492.539565133),1926 DALLAS ST,12.196022309676673
2,3,1677,602,637500,2024-11-27T05:00:00Z,Y,1970,SRID=2272;POINT(2693806.65089751 232992.544097461),1232 RODMAN ST,13.365309556014719
1,2,904,799,112500,2024-12-23T05:00:00Z,N,1920,SRID=2272;POINT(2690817.37825137 267982.415531978),5668 HEISKELL ST,11.630708500626612
1,3,1527,3550,237000,2024-10-11T04:00:00Z,Y,2009,SRID=2272;POINT(2692722.26428362 246473.329818635),1723 N 19TH ST,12.375815420117268
1,3,1312,1675,166000,2024-12-02T05:00:00Z,NA,1950,SRID=2272;POINT(2722000.25188375 266538.153949921),3002 FANSHAWE ST,12.01974306733868
1,3,1084,813,81500,2024-12-12T05:00:00Z,N,1925,SRID=2272;POINT(2679320.37736027 241782.182993216),887 N 46TH ST,11.308358299228955
4,5,5772,20577,600000,2024-11-26T05:00:00Z,N,1850,SRID=2272;POINT(2689162.35514524 264887.573665961),151 W SCHOOL HOUSE LN,13.304684934198283
1,4,1528,1120,30000,2024-12-31T05:00:00Z,NA,1925,SRID=2272;POINT(2672343.69708028 248376.864875017),5708 MALVERN AVE,10.308952660644293
2,3,1320,976,165000,2024-12-31T05:00:00Z,Y,1920,SRID=2272;POINT(2694810.29767482 222044.882889613),2812 S 7TH ST,12.013700752882718
1,2,1312,924,237000,2024-12-23T05:00:00Z,NA,1875,SRID=2272;POINT(2703861.63230639 249321.533281975),1916 E ALBERT ST,12.375815420117268
1,3,1138,1451,90000,2024-12-18T05:00:00Z,NA,1945,SRID=2272;POINT(2721433.61229495 262945.160038539),6122 MONTAGUE ST,11.407564949312402
1,3,970,707,180000,2024-11-26T05:00:00Z,N,1923,SRID=2272;POINT(2690639.93039073 230463.478961594),1163 DORRANCE ST,12.100712129872347
2,3,1320,1407,250000,2024-10-24T04:00:00Z,N,1920,SRID=2272;POINT(2720797.01178148 260850.020678077),4514 VAN KIRK ST,12.429216196844383
1,3,1056,1168,105000,2024-12-20T05:00:00Z,N,1925,SRID=2272;POINT(2694442.92131116 272557.585352487),6414 N NORWOOD ST,11.56171562913966
1,3,1356,1849,200000,2024-12-19T05:00:00Z,NA,1950,SRID=2272;POINT(2725992.92488833 266670.338431652),7053 CHARLES ST,12.206072645530174
1,2,1070,1229,195000,2024-10-08T04:00:00Z,N,1925,SRID=2272;POINT(2709329.48170029 258318.69930495),4230 BENNINGTON ST,12.180754837545884
1,3,960,720,22500,2024-12-30T05:00:00Z,N,1925,SRID=2272;POINT(2700170.26197973 260705.812115532),4431 N MARSHALL ST,10.021270588192511
1,1,803,1,675000,2024-12-17T05:00:00Z,Y,1963,SRID=2272;POINT(2698848.0847662 233823.658437194),200 LOCUST ST,13.422467969854667
1,3,1208,1277,217000,2024-10-14T04:00:00Z,NA,1930,SRID=2272;POINT(2692131.42850483 260798.147187089),4535 MORRIS ST,12.287652632522597
1,3,1376,1920,242500,2024-12-26T05:00:00Z,N,1950,SRID=2272;POINT(2726535.09190516 267058.539639771),7153 CHARLES ST,12.398756989359676
1,3,1178,2565,100000,2024-10-15T04:00:00Z,N,1950,SRID=2272;POINT(2689869.02410167 281581.635683236),8242 MICHENER AVE,11.512925464970229
1,3,1120,658,265000,2024-11-01T04:00:00Z,N,1920,SRID=2272;POINT(2690574.03347916 226325.571475381),2026 S COLORADO ST,12.487485104968359
1,3,1248,1208,38900,2024-08-21T04:00:00Z,NA,1925,SRID=2272;POINT(2677282.98454391 225761.343479351),6021 BUIST AVE,10.568749529606537
2,3,1230,1020,250000,2024-10-17T04:00:00Z,Y,1925,SRID=2272;POINT(2709943.16492394 269354.667783591),571 ROSALIE ST,12.429216196844383
4,4,1188,1464,260000,2024-12-27T05:00:00Z,Y,1915,SRID=2272;POINT(2694619.6092634 248899.709954415),2231 N SYDENHAM ST,12.468436909997665
1,3,1200,786,300000,2024-02-05T05:00:00Z,Y,1875,SRID=2272;POINT(2703166.56412078 248745.171935071),1934 E FIRTH ST,12.611537753638338
1,2,900,714,273000,2023-02-03T05:00:00Z,N,1940,SRID=2272;POINT(2693122.3354662 225160.479924326),1151 TREE ST,12.517227074167097
1,3,984,815,40000,2024-12-19T05:00:00Z,NA,1925,SRID=2272;POINT(2696987.42306853 249293.099247204),1031 W ARIZONA ST,10.596634733096073
1,2,1038,600,60500,2024-01-24T05:00:00Z,N,1935,SRID=2272;POINT(2715917.61964732 260694.150677544),1636 FILLMORE ST,11.010398644018933
1,3,1480,1140,56312,2024-11-30T05:00:00Z,N,1943,SRID=2272;POINT(2687967.27866793 254860.178908041),3118 N PATTON ST,10.938662935287967
2,4,1920,4500,260000,2024-12-05T05:00:00Z,N,1935,SRID=2272;POINT(2725285.85738592 263221.579878146),6634 TORRESDALE AVE,12.468436909997665
